Year,Water_Account_Identifier,Eligible,Enrolled
2020,1,No,No
2020,2,Yes,Yes
2020,3,No,No
2020,4,No,No
2020,5,Yes,Yes
2020,6,No,No
2020,7,No,No
2020,8,No,No
2020,9,No,No
2020,10,No,No
2020,11,No,No
2020,12,No,No
2020,13,No,No
2020,14,Yes,Yes
2020,15,Yes,Yes
2020,16,Yes,Yes
2020,17,No,No
2020,18,Yes,Yes
2020,19,No,No
2020,20,No,No
2020,21,No,No
2020,22,Yes,Yes
2020,23,No,No
2020,24,No,No
2020,25,No,No
2020,26,No,No
2020,27,Yes,Yes
2020,28,No,No
2020,29,Yes,Yes
2020,30,Yes,Yes
2020,31,No,No
2020,32,No,No
2020,33,Yes,Yes
2020,34,No,No
2020,35,No,No
2020,36,No,No
2020,37,No,No
2020,38,No,No
2020,39,No,No
2020,40,Yes,Yes
2020,41,No,No
2020,42,No,No
2020,43,No,No
2020,44,No,No
2020,45,No,No
2020,46,Yes,Yes
2020,47,No,No
2020,48,No,No
2020,49,Yes,Yes
2020,50,Yes,Yes
2020,51,Yes,Yes
2020,52,Yes,Yes
2020,53,No,No
2020,54,No,No
2020,55,No,No
2020,56,Yes,Yes
2020,57,No,No
2020,58,No,No
2020,59,No,No
2020,60,No,No
2020,61,Yes,Yes
2020,62,No,No
2020,63,No,No
2020,64,No,No
2020,65,No,No
2020,66,Yes,Yes
2020,67,Yes,Yes
2020,68,No,No
2020,69,No,No
2020,70,No,No
2020,71,No,No
2020,72,No,No
2020,73,Yes,Yes
2020,74,Yes,Yes
2020,75,No,No
2020,76,No,No
2020,77,No,No
2020,78,No,No
2020,79,No,No
2020,80,No,No
2020,81,No,No
2020,82,No,No
2020,83,No,No
2020,84,Yes,Yes
2020,85,No,No
2020,86,No,No
2020,87,No,No
2020,88,Yes,Yes
2020,89,Yes,Yes
2020,90,No,No
2020,91,No,No
2020,92,Yes,Yes
2020,93,No,No
2020,94,No,No
2020,95,Yes,Yes
2020,96,No,No
2020,97,No,No
2020,98,No,No
2020,99,No,No
2020,100,Yes,Yes
2020,101,No,No
2020,102,No,No
2020,103,No,No
2020,104,No,No
2020,105,Yes,Yes
2020,106,No,No
2020,107,Yes,Yes
2020,108,No,No
2020,109,No,No
2020,110,No,No
2020,111,No,No
2020,112,No,No
2020,113,No,No
2020,114,No,No
2020,115,No,No
2020,116,No,No
2020,117,No,No
2020,118,No,No
2020,119,No,No
2020,120,No,No
2020,121,No,No
2020,122,No,No
2020,123,No,No
2020,124,No,No
2020,125,No,No
2020,126,No,No
2020,127,Yes,Yes
2020,128,No,No
2020,129,No,No
2020,130,No,No
2020,131,Yes,Yes
2020,132,No,No
2020,133,No,No
2020,134,No,No
2020,135,No,No
2020,136,Yes,Yes
2020,137,No,No
2020,138,Yes,Yes
2020,139,Yes,Yes
2020,140,Yes,Yes
2020,141,No,No
2020,142,No,No
2020,143,No,No
2020,144,No,No
2020,145,No,No
2020,146,No,No
2020,147,No,No
2020,148,No,No
2020,149,No,No
2020,150,No,No
2020,151,No,No
2020,152,No,No
2020,153,No,No
2020,154,No,No
2020,155,No,No
2020,156,No,No
2020,157,No,No
2020,158,No,No
2020,159,No,No
2020,160,No,No
2020,161,Yes,Yes
2020,162,Yes,Yes
2020,163,No,No
2020,164,Yes,Yes
2020,165,No,No
2020,166,No,No
2020,167,Yes,Yes
2020,168,Yes,Yes
2020,169,No,No
2020,170,Yes,Yes
2020,171,No,No
2020,172,Yes,Yes
2020,173,No,No
2020,174,No,No
2020,175,No,No
2020,176,Yes,Yes
2020,177,No,No
2020,178,No,No
2020,179,No,No
2020,180,No,No
2020,181,No,No
2020,182,Yes,Yes
2020,183,No,No
2020,184,No,No
2020,185,No,No
2020,186,No,No
2020,187,No,No
2020,188,No,No
2020,189,No,No
2020,190,Yes,Yes
2020,191,No,No
2020,192,No,No
2020,193,No,No
2020,194,No,No
2020,195,No,No
2020,196,No,No
2020,197,Yes,Yes
2020,198,No,No
2020,199,No,No
2020,200,No,No
2020,201,Yes,Yes
2020,202,No,No
2020,203,No,No
2020,204,Yes,Yes
2020,205,No,No
2020,206,No,No
2020,207,No,No
2020,208,No,No
2020,209,No,No
2020,210,No,No
2020,211,Yes,Yes
2020,212,Yes,Yes
2020,213,No,No
2020,214,Yes,Yes
2020,215,No,No
2020,216,No,No
2020,217,Yes,Yes
2020,218,No,No
2020,219,No,No
2020,220,Yes,Yes
2020,221,No,No
2020,222,No,No
2020,223,No,No
2020,224,Yes,Yes
2020,225,No,No
2020,226,Yes,Yes
2020,227,No,No
2020,228,No,No
2020,229,No,No
2020,230,No,No
2020,231,No,No
2020,232,No,No
2020,233,Yes,Yes
2020,234,No,No
2020,235,Yes,Yes
2020,236,No,No
2020,237,No,No
2020,238,Yes,Yes
2020,239,No,No
2020,240,No,No
2020,241,No,No
2020,242,No,No
2020,243,No,No
2020,244,No,No
2020,245,No,No
2020,246,No,No
2020,247,Yes,Yes
2020,248,Yes,Yes
2020,249,No,No
2020,250,No,No
2020,251,No,No
2020,252,No,No
2020,253,No,No
2020,254,Yes,Yes
2020,255,No,No
2020,256,No,No
2020,257,No,No
2020,258,Yes,Yes
2020,259,No,No
2020,260,No,No
2020,261,No,No
2020,262,No,No
2020,263,No,No
2020,264,No,No
2020,265,No,No
2020,266,No,No
2020,267,No,No
2020,268,No,No
2020,269,Yes,Yes
2020,270,No,No
2020,271,Yes,Yes
2020,272,No,No
2020,273,No,No
2020,274,No,No
2020,275,No,No
2020,276,No,No
2020,277,No,No
2020,278,No,No
2020,279,No,No
2020,280,No,No
2020,281,No,No
2020,282,No,No
2020,283,No,No
2020,284,No,No
2020,285,No,No
2020,286,No,No
2020,287,No,No
2020,288,Yes,Yes
2020,289,No,No
2020,290,No,No
2020,291,No,No
2020,292,No,No
2020,293,No,No
2020,294,Yes,Yes
2020,295,Yes,Yes
2020,296,No,No
2020,297,No,No
2020,298,No,No
2020,299,No,No
2020,300,Yes,Yes
2020,301,No,No
2020,302,No,No
2020,303,No,No
2020,304,No,No
2020,305,No,No
2020,306,Yes,Yes
2020,307,No,No
2020,308,No,No
2020,309,No,No
2020,310,No,No
2020,311,No,No
2020,312,Yes,Yes
2020,313,No,No
2020,314,No,No
2020,315,No,No
2020,316,No,No
2020,317,No,No
2020,318,No,No
2020,319,No,No
2020,320,No,No
2020,321,No,No
2020,322,Yes,Yes
2020,323,No,No
2020,324,Yes,Yes
2020,325,Yes,Yes
2020,326,No,No
2020,327,Yes,Yes
2020,328,Yes,Yes
2020,329,No,No
2020,330,Yes,Yes
2020,331,Yes,Yes
2020,332,Yes,Yes
2020,333,Yes,Yes
2020,334,No,No
2020,335,No,No
2020,336,No,No
2020,337,No,No
2020,338,No,No
2020,339,No,No
2020,340,No,No
2020,341,Yes,Yes
2020,342,Yes,Yes
2020,343,Yes,Yes
2020,344,No,No
2020,345,No,No
2020,346,No,No
2020,347,Yes,Yes
2020,348,No,No
2020,349,No,No
2020,350,No,No
2020,351,No,No
2020,352,No,No
2020,353,No,No
2020,354,No,No
2020,355,Yes,Yes
2020,356,No,No
2020,357,No,No
2020,358,Yes,Yes
2020,359,No,No
2020,360,No,No
