"","GEOID","NAME","variable","estimate","moe"
"1","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_race_count",4359,254
"2","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_race_white",3933,223
"3","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_race_black",117,133
"4","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_race_american_indian_native_alaskan",0,11
"5","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_race_asian",161,116
"6","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_race_native_hawaiian_pacific_islander",0,11
"7","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_race_other_race",27,28
"8","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_race_two_or_more_races",121,94
"9","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_hispanic",163,91
"10","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_hispanic_white_alone",148,87
"11","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_count",2159,189
"12","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_less_5min",37,27
"13","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_5_9min",176,62
"14","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_10_14min",254,97
"15","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_15_19min",505,161
"16","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_20_24min",184,66
"17","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_25_29min",71,38
"18","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_30_34min",163,77
"19","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_35_39min",115,58
"20","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_40_44min",89,55
"21","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_45_59min",197,86
"22","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_60_89min",304,77
"23","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_travel_time_work_atleast_90min",64,33
"24","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_in_hh_with_income_assistance",32,38
"25","17043846206","Census Tract 8462.06, DuPage County, Illinois","pop_in_hh_with_no_income_assistance",1114,121
"26","17043846206","Census Tract 8462.06, DuPage County, Illinois","hh_type_total_count",1570,75
"27","17043846206","Census Tract 8462.06, DuPage County, Illinois","hh_type_family_count",1193,100
"28","17043846206","Census Tract 8462.06, DuPage County, Illinois","hh_type_family_size_2",486,101
