"","NAME","GEOID","hh_type_total_countE","aff_grade_avg","aff_grade_1","aff_grade_2","aff_grade_3","aff_grade_4","aff_grade_5","aff_grade_6","aff_grade_7","HBI_size_avg","HBI_size_1","HBI_size_2","HBI_size_3","HBI_size_4","HBI_size_5","HBI_size_6","HBI_size_7","PPI","hh_income_upper_limit_Q1E","hh_size_avg_overallE","white_perc","Cutoff_Perc","CAP_Perc","bachAbove","own_rate","Incentive_rate","Interrup","boil_rate"
"1","Census Tract 8462.06, DuPage County, Illinois","17043846206",1570,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",2.01711373683225,1.10005146956842,1.61525499050316,2.13045851143789,2.64566203237263,3.16086555330737,3.6760690742421,4.19127259517684,13.351686166552,39559,2.78,0.902271163110805,2.67221164635047,2.59386600551459,59.5408895265423,84.9896717925178,15.3839700192366,0,0
"2","Census Tract 8803.09, Will County, Illinois","17197880309",1416,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",0.916586936869955,0.423135390345156,0.621308702202505,0.819482014059854,1.0176553259172,1.21582863777455,1.4140019496319,1.61217526148925,3.09779307552136,102844,3.49,0.686778700141729,0.818713306565798,0.741781772737657,67.893864013267,94.5333063373153,19.303710980485,0,0
"3","Census Tract 8416.07, DuPage County, Illinois","17043841607",1667,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.63498991883128,0.90788901119622,1.33309422033953,1.75829942948284,2.18350463862615,2.60870984776947,3.03391505691278,3.45912026605609,19.6973069218785,47932,2.71,0.858313039628072,3.66568900631155,3.50987490641963,53.1428571428571,82.6164079822616,13.9885261790092,0,0
"4","Census Tract 8465.22, DuPage County, Illinois","17043846522",1588,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.26970428604705,0.729721406634648,1.07148272271844,1.41324403880224,1.75500535488604,2.09676667096983,2.43852798705363,2.78028930313743,9.4795993159052,59635,2.58,0.524530144007811,1.35081031877877,1.15812944245602,73.0248306997743,68.8308518428118,13.0887470909773,0,99.8748027253896
"5","Census Tract 8465.07, DuPage County, Illinois","17043846507",1120,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.44674132611559,0.899240305099027,1.32039493665023,1.74154956820143,2.16270419975263,2.58385883130383,3.00501346285503,3.42616809440623,12.0636152055857,48393,2.3,0.471295577967417,1.76847737887369,1.48797683573116,60.5110336817654,52.3273855702095,8.71976532038224,0,0
"6","Census Tract 8462.07, DuPage County, Illinois","17043846207",1950,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.18785609204146,0.630104919923218,0.92521136019742,1.22031780047162,1.51542424074582,1.81053068102003,2.10563712129423,2.40074356156843,2.82616423746889,69063,2.89,0.838250977603981,0.837945222621746,0.797284176447602,68.8421052631579,97.7603981514397,20.4830745497982,0,0
"7","Census Tract 8416.06, DuPage County, Illinois","17043841606",956,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.3435172083044,0.842437201576917,1.23698838797651,1.6315395743761,2.02609076077569,2.42064194717528,2.81519313357487,3.20974431997446,5.71955719557196,51656,2.27,0.892066420664207,1.05823355463708,1.02396787403952,63.4011090573013,76.1992619926199,13.6814494395582,0,0
"8","Census Tract 8426.01, DuPage County, Illinois","17043842601",1372,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",0.942154364141705,0.491228338879501,0.721292637482666,0.951356936085831,1.181421234689,1.41148553329216,1.64154983189533,1.87161413049849,2.36104279390064,88588,2.96,0.885636989670438,0.787984615707865,0.760949727884145,79.6528803545052,88.7358583374324,19.3292895075421,0,0
"9","Census Tract 8803.12, Will County, Illinois","17197880312",3730,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.14370333499288,0.586291982170958,0.860878855482249,1.13546572879354,1.41005260210483,1.68463947541612,1.95922634872741,2.2338132220387,3.84275618374558,74224,3.03,0.607420494699647,0.889761259054068,0.784970648579609,79.5414462081129,92.0583038869258,20.3685112436645,0,0
"10","Census Tract 8465.23, DuPage County, Illinois","17043846523",927,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",0.864465920244211,0.454048706043877,0.666700112365293,0.87935151868671,1.09200292500813,1.30465433132954,1.51730573765096,1.72995714397238,5.13573000733676,95842,2.93,0.946441672780631,0.906916195379375,0.892344321073573,70.7865168539326,89.4659300184162,18.2005868532282,0,0
