"","NAME","GEOID","hh_type_total_countE","staff_count","staff_per_1000hh"
"1","Census Tract 8462.06, DuPage County, Illinois","17043846206",1570,9,5.73248407643312
"2","Census Tract 8803.09, Will County, Illinois","17197880309",1416,6,4.23728813559322
"3","Census Tract 8416.07, DuPage County, Illinois","17043841607",1667,3,1.7996400719856
"4","Census Tract 8465.22, DuPage County, Illinois","17043846522",1588,9,5.66750629722922
"5","Census Tract 8465.07, DuPage County, Illinois","17043846507",1120,5,4.46428571428571
"6","Census Tract 8462.07, DuPage County, Illinois","17043846207",1950,9,4.61538461538461
"7","Census Tract 8416.06, DuPage County, Illinois","17043841606",956,10,10.4602510460251
"8","Census Tract 8426.01, DuPage County, Illinois","17043842601",1372,8,5.83090379008746
"9","Census Tract 8803.12, Will County, Illinois","17197880312",3730,7,1.87667560321716
"10","Census Tract 8465.23, DuPage County, Illinois","17043846523",927,3,3.23624595469256
"11","Census Tract 8801.19, Will County, Illinois","17197880119",1435,2,1.39372822299652
"12","Census Tract 8463.04, DuPage County, Illinois","17043846304",2178,8,3.67309458218549
"13","Census Tract 8461.03, DuPage County, Illinois","17043846103",1910,7,3.66492146596859
"14","Census Tract 8464.05, DuPage County, Illinois","17043846405",1486,1,0.672947510094213
"15","Census Tract 8803.03, Will County, Illinois","17197880303",1255,6,4.7808764940239
"16","Census Tract 8803.05, Will County, Illinois","17197880305",1509,7,4.63883366467859
"17","Census Tract 8801.18, Will County, Illinois","17197880118",1444,10,6.92520775623269
"18","Census Tract 8465.04, DuPage County, Illinois","17043846504",2283,1,0.438020148926851
"19","Census Tract 8803.04, Will County, Illinois","17197880304",1515,0,0
"20","Census Tract 8462.03, DuPage County, Illinois","17043846203",1505,4,2.6578073089701
"21","Census Tract 8463.13, DuPage County, Illinois","17043846313",2226,3,1.34770889487871
"22","Census Tract 8462.01, DuPage County, Illinois","17043846201",2214,3,1.3550135501355
"23","Census Tract 8464.10, DuPage County, Illinois","17043846410",2129,1,0.469704086425552
"24","Census Tract 8462.08, DuPage County, Illinois","17043846208",1154,5,4.33275563258232
"25","Census Tract 8462.09, DuPage County, Illinois","17043846209",1267,9,7.10339384372534
"26","Census Tract 8803.06, Will County, Illinois","17197880306",1930,8,4.14507772020725
"27","Census Tract 8465.13, DuPage County, Illinois","17043846513",900,7,7.77777777777778
"28","Census Tract 8464.04, DuPage County, Illinois","17043846404",2780,3,1.07913669064748
"29","Census Tract 8461.02, DuPage County, Illinois","17043846102",2002,4,1.998001998002
"30","Census Tract 8462.02, DuPage County, Illinois","17043846202",2415,10,4.1407867494824
"31","Census Tract 8803.10, Will County, Illinois","17197880310",3834,1,0.260824204486176
"32","Census Tract 8464.13, DuPage County, Illinois","17043846413",1477,2,1.354096140826
"33","Census Tract 8803.07, Will County, Illinois","17197880307",2106,6,2.84900284900285
"34","Census Tract 8803.08, Will County, Illinois","17197880308",2777,7,2.52070579762333
"35","Census Tract 8465.14, DuPage County, Illinois","17043846514",1237,7,5.65885206143897
"36","Census Tract 8465.24, DuPage County, Illinois","17043846524",1723,1,0.580383052814858
"37","Census Tract 8464.11, DuPage County, Illinois","17043846411",1881,4,2.12652844231792
"38","Census Tract 8464.12, DuPage County, Illinois","17043846412",1737,7,4.02993667242372
"39","Census Tract 8465.19, DuPage County, Illinois","17043846519",1147,0,0
"40","Census Tract 8461.06, DuPage County, Illinois","17043846106",1579,3,1.89993666877771
"41","Census Tract 8461.05, DuPage County, Illinois","17043846105",1255,7,5.57768924302789
"42","Census Tract 8462.05, DuPage County, Illinois","17043846205",1255,7,5.57768924302789
"43","Census Tract 8461.04, DuPage County, Illinois","17043846104",1518,0,0
"44","Census Tract 8801.20, Will County, Illinois","17197880120",3090,5,1.61812297734628
"45","Census Tract 8465.21, DuPage County, Illinois","17043846521",2010,8,3.98009950248756
