"","NAME","GEOID","hh_type_total_countE","conn","water_quality_complaints_received","water_quality_complaints_resolved","ft_mains","lead_lines","meeting_count","meeting_count_1000hh","main_breaks","main_breaks_1000ft_pipe","prop_lead_lines","leaks_detected","prop_lead_lines_replaced","sewer_overflows","leak_detection_expenditure","network_renewal_percent","network_renewal_expenditure","real_losses_percent_delivered","real_loss_reduction_percent"
"1","Census Tract 8462.06, DuPage County, Illinois","17043846206",1570,1287,105,97,139050.794292796,0,1,0.000636942675159236,0,0,0,2,NA,0,354317.591991276,1.7280107177794,659.630912143978,76.2755262665451,32.3957336635794
"2","Census Tract 8803.09, Will County, Illinois","17197880309",1416,1202,109,99,133549.193453582,0,1,0.000706214689265537,0,0,0,3,NA,1,56454.6573441476,19.9212673865259,17690.7987844445,37.5108342152089,11.492117268499
"3","Census Tract 8416.07, DuPage County, Illinois","17043841607",1667,1,0,0,84.9319808518048,0,1,0.000599880023995201,0,0,0,1,NA,1,982135.966653004,3.2631498714909,509.315061050883,24.7533319983631,60.0006941403262
"4","Census Tract 8465.22, DuPage County, Illinois","17043846522",1588,879,57,52,95960.9157378334,0,1,0.000629722921914358,2,0.0208418186156542,0,6,NA,0,573605.171171948,5.61195767484605,752.580323097985,71.6535264626145,61.9847588334233
"5","Census Tract 8465.07, DuPage County, Illinois","17043846507",1120,1,0,0,89.4511026530527,0,1,0.000892857142857143,1,11.1792920415819,0,8,NA,0,269828.184507787,4.96971786487848,388.344930983335,69.0329067409039,56.6091942391358
"6","Census Tract 8462.07, DuPage County, Illinois","17043846207",1950,1738,143,128,190198.092138535,0,1,0.000512820512820513,0,0,0,4,NA,0,74597.5717436522,14.5797275891528,8304.83453726151,58.4469749825075,47.236824616557
"7","Census Tract 8416.06, DuPage County, Illinois","17043841606",956,1,0,0,138.453426852357,0,1,0.00104602510460251,2,14.445290705103,0,9,NA,0,424452.823586762,18.2940374454483,13404.1732704896,58.8463467545807,9.48718274128623
"8","Census Tract 8426.01, DuPage County, Illinois","17043842601",1372,1,0,0,120.899474881357,0,1,0.000728862973760933,0,0,0,6,NA,1,99061.6411436349,13.0076233437285,6491.07963444582,78.5925640026107,53.7446391524281
"9","Census Tract 8803.12, Will County, Illinois","17197880312",3730,3585,290,269,393924.510516294,0,1,0.000268096514745308,0,0,0,7,NA,1,242570.990230888,0.164040247909725,104.336460820938,20.1245329342782,77.8861711081117
"10","Census Tract 8465.23, DuPage County, Illinois","17043846523",927,961,85,76,105656.24813317,0,1,0.00107874865156419,0,0,0,4,NA,0,600136.419758201,16.2526543485001,11429.4697390171,60.1760644698516,91.1655884783249
"11","Census Tract 8801.19, Will County, Illinois","17197880119",1435,1461,129,118,159035.102259538,0,1,0.000696864111498258,1,0.0062879199987437,0,9,NA,0,55448.9067289978,18.5834867274389,15762.7990655823,22.9162460658699,70.847735152347
"12","Census Tract 8463.04, DuPage County, Illinois","17043846304",2178,1608,113,101,175641.10225814,0,1,0.000459136822773186,0,0,0,6,NA,0,854003.514628857,18.4365212963894,16375.4134795203,90.5368632171303,23.3807296887971
"13","Census Tract 8461.03, DuPage County, Illinois","17043846103",1910,1265,115,101,138579.9591481,171,1,0.000523560209424084,0,0,0.135177865612648,7,0.404038212960586,1,448221.020633355,15.9331626072526,3525.68930075981,26.7507616663352,57.9254896682687
"14","Census Tract 8464.05, DuPage County, Illinois","17043846405",1486,1063,91,75,116735.542089728,0,1,0.000672947510094213,1,0.00856637132186661,0,1,NA,0,571655.446430668,16.9168499298394,175.010052348142,78.6073095863685,8.46843599225394
"15","Census Tract 8803.03, Will County, Illinois","17197880303",1255,955,65,62,105144.838222099,0,1,0.000796812749003984,1,0.0095106903668222,0,7,NA,1,149760.483996943,10.1288787927479,1510.81921229979,46.2029947899282,20.2415394992568
"16","Census Tract 8803.05, Will County, Illinois","17197880305",1509,1602,129,118,174715.641811312,0,1,0.000662690523525514,2,0.0114471719833759,0,6,NA,0,746362.401871011,1.04580365121365,361.062806984693,65.4555969871581,16.0124598257244
"17","Census Tract 8801.18, Will County, Illinois","17197880118",1444,1174,98,84,130573.669516371,0,1,0.000692520775623269,2,0.0153170237721568,0,5,NA,0,29760.69226861,12.6556992297992,7762.83745916578,66.939629917033,39.5234293572139
"18","Census Tract 8465.04, DuPage County, Illinois","17043846504",2283,1843,153,135,201320.532061998,90,1,0.000438020148926851,0,0,0.0488334237655996,1,0.404038212960586,1,917710.443492979,1.93053306080401,1753.76590849372,98.4314903616905,24.3319486628752
"19","Census Tract 8803.04, Will County, Illinois","17197880304",1515,1546,126,112,169880.241142142,0,1,0.00066006600660066,0,0,0,5,NA,1,596600.350923836,8.46282263286412,7696.79266584369,55.8767542941496,93.0122875003144
"20","Census Tract 8462.03, DuPage County, Illinois","17043846203",1505,1378,101,87,149562.056636183,0,1,0.000664451827242525,2,0.0133723756210781,0,5,NA,1,610957.384342328,18.5179404495284,14344.4883499822,74.1215464193374,56.5125792112667
"21","Census Tract 8463.13, DuPage County, Illinois","17043846313",2226,1,0,0,90.526314832503,0,1,0.000449236298292902,0,0,0,3,NA,1,751665.082294494,9.84365853480995,6042.52604283901,37.4443874461576,64.8394172999542
"22","Census Tract 8462.01, DuPage County, Illinois","17043846201",2214,1546,116,102,166497.669396905,0,1,0.0004516711833785,0,0,0,6,NA,0,972230.614395812,12.4933809740469,8128.50145856219,85.1814849069342,30.0605724856723
"23","Census Tract 8464.10, DuPage County, Illinois","17043846410",2129,622,51,50,67288.2000816674,0,1,0.000469704086425552,1,0.0148614467140792,0,7,NA,1,155692.70006381,8.85418221354485,8502.6318429906,55.2858352428302,55.2013534808066
"24","Census Tract 8462.08, DuPage County, Illinois","17043846208",1154,1140,100,92,126840.446250717,0,1,0.000866551126516464,1,0.00788392054395147,0,4,NA,0,95750.9563304484,12.2541616391391,6527.06097073361,54.7014473471791,64.1758174507413
