"","GEOID","P2_Staff_Share_Ratio","P2_Grade_Staff_Share"
"1","17043846206",0.512477707006369,"1. Good - >0.5"
"2","17197880309",0.378808851224105,"2. Fair - 0.25-0.5"
"3","17043841607",0.160885822835433,"3. Poor - <0.25"
"4","17043846522",0.506668765743073,"1. Good - >0.5"
"5","17043846507",0.399102182539683,"2. Fair - 0.25-0.5"
"6","17043846207",0.412610256410256,"2. Fair - 0.25-0.5"
"7","17043841606",0.935134821013482,"1. Good - >0.5"
"8","17043842601",0.52127632005183,"1. Good - >0.5"
"9","17197880312",0.167772713732499,"3. Poor - <0.25"
"10","17043846523",0.289316792520676,"2. Fair - 0.25-0.5"
"11","17197880119",0.124597754548974,"3. Poor - <0.25"
"12","17043846304",0.32837057443118,"2. Fair - 0.25-0.5"
"13","17043846103",0.327639906922629,"2. Fair - 0.25-0.5"
"14","17043846405",0.060160759682967,"3. Poor - <0.25"
"15","17197880303",0.427405046480744,"2. Fair - 0.25-0.5"
"16","17197880305",0.414706575362639,"2. Fair - 0.25-0.5"
"17","17197880118",0.619105878731918,"1. Good - >0.5"
"18","17043846504",0.0391585146250061,"3. Poor - <0.25"
"19","17197880304",0,"3. Poor - <0.25"
"20","17043846203",0.237605020302695,"3. Poor - <0.25"
"21","17043846313",0.120483677747829,"3. Poor - <0.25"
"22","17043846201",0.121136705811503,"3. Poor - <0.25"
"23","17043846410",0.041991023433015,"3. Poor - <0.25"
"24","17043846208",0.387343539379935,"2. Fair - 0.25-0.5"
"25","17043846209",0.635035516969219,"1. Good - >0.5"
"26","17197880306",0.370565342544617,"2. Fair - 0.25-0.5"
"27","17043846513",0.695324691358025,"1. Good - >0.5"
"28","17043846404",0.0964736211031175,"3. Poor - <0.25"
"29","17043846102",0.178619158619159,"3. Poor - <0.25"
"30","17043846202",0.370181734529561,"2. Fair - 0.25-0.5"
"31","17197880310",0.0233173940763925,"3. Poor - <0.25"
"32","17043846413",0.121054690438577,"3. Poor - <0.25"
"33","17197880307",0.254697689142134,"2. Fair - 0.25-0.5"
"34","17197880308",0.225348297523307,"3. Poor - <0.25"
"35","17043846514",0.505895086679242,"1. Good - >0.5"
"36","17043846524",0.0518856000515896,"3. Poor - <0.25"
"37","17043846411",0.190109279933841,"3. Poor - <0.25"
"38","17043846412",0.360271860807267,"2. Fair - 0.25-0.5"
"39","17043846519",0,"3. Poor - <0.25"
"40","17043846106",0.169852227147984,"3. Poor - <0.25"
"41","17043846105",0.498639220894201,"2. Fair - 0.25-0.5"
"42","17043846205",0.498639220894201,"2. Fair - 0.25-0.5"
"43","17043846104",0,"3. Poor - <0.25"
"44","17197880120",0.144658396260338,"3. Poor - <0.25"
"45","17043846521",0.355816473189608,"2. Fair - 0.25-0.5"
