"","GEOID","P3_Meetings","P3_Grade_Meetings","P3_Breaks_100mi","P3_SSO_100mi","P3_Lead_Lines_Percent","P3_Lead_Lines_Replaced_Percent","P3_Network_Renewal","P3_Maintenance_Hrs_100mi","P3_Grade_Breaks","P3_Grade_SSO","P3_Grade_Lead","P3_Grade_Lead_Replace","P3_Grade_Network_Renewal","P3_Grade_Maintenance"
"1","17043846206",0,"3. Poor - 0",0,0,0,NA,0.25920160766691,1185.80406923639,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"3. Poor - <0.5%","2. Fair - 650-1800"
"2","17197880309",0,"3. Poor - 0",0,0,0,NA,2.98819010797888,1130.43655716934,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"3","17043841607",0,"3. Poor - 0",0,0,0,NA,0.489472480723634,1029.65048176678,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"3. Poor - <0.5%","2. Fair - 650-1800"
"4","17043846522",1,"2. Fair - 1",11.0044802290654,11.0044802290654,0,NA,0.841793651226908,1648.99524660108,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
"5","17043846507",1,"2. Fair - 1",5902.66619795526,5902.66619795526,0,NA,0.745457679731771,986.426784459403,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
"6","17043846207",0,"3. Poor - 0",0,0,0,NA,2.18695913837291,1065.49951663517,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"7","17043841606",0,"3. Poor - 0",7627.11349229436,7627.11349229436,0,NA,2.74410561681725,1485.93065865527,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"8","17043842601",0,"3. Poor - 0",0,0,0,NA,1.95114350155927,1237.84622009114,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
"9","17197880312",0,"3. Poor - 0",0,0,0,NA,0.0246060371864587,1098.687568431,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"3. Poor - <0.5%","2. Fair - 650-1800"
"10","17043846523",1,"2. Fair - 1",0,0,0,NA,2.43789815227501,610.902736602721,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"1. Good >2%","3. Poor - <650"
"11","17197880119",1,"2. Fair - 1",3.32002175933668,3.32002175933668,0,NA,2.78752300911583,827.074053666472,"1. Good - <5","2. Fair - 2-10","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"12","17043846304",1,"2. Fair - 1",0,0,0,NA,2.76547819445841,897.792444788261,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"13","17043846103",0,"3. Poor - 0",0,0,13.5177865612648,0.081314866815228,2.38997439108789,1683.36977596162,"1. Good - <5","1. Good - <2","3. Poor - >5%",0.081314866815228,"1. Good >2%","2. Fair - 650-1800"
"14","17043846405",0,"3. Poor - 0",4.52304405794557,4.52304405794557,0,NA,2.53752748947591,1389.11783371005,"1. Good - <5","2. Fair - 2-10","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"15","17197880303",0,"3. Poor - 0",5.02164451368212,5.02164451368212,0,NA,1.51933181891218,1158.95419868899,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
"16","17197880305",0,"3. Poor - 0",6.0441068072225,6.0441068072225,0,NA,0.156870547682047,897.486842412004,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"3. Poor - <0.5%","2. Fair - 650-1800"
"17","17197880118",0,"3. Poor - 0",8.08738855169877,8.08738855169877,0,NA,1.89835488446988,956.233875442943,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
"18","17043846504",0,"3. Poor - 0",0,0,4.88334237655996,-0.00950900630559773,0.289579959120601,405.980109538248,"1. Good - <5","1. Good - <2","2. Fair - 0-5%",-0.00950900630559773,"3. Poor - <0.5%","3. Poor - <650"
"19","17197880304",0,"3. Poor - 0",0,0,0,NA,1.26942339492962,88.0531121955404,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"2. Fair - 0.5-2%","3. Poor - <650"
"20","17043846203",0,"3. Poor - 0",7.06061432792926,7.06061432792926,0,NA,2.77769106742926,1330.63985642948,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"21","17043846313",0,"3. Poor - 0",0,0,0,NA,1.47654878022149,810.91733053418,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
